id,commit_id,commit_url,owner,repo,sha,source_id,text_id,sentence_id,source,source_url,artifact_kind,artifact_number,class_name,text,sentence,run_labels,final_labels
42645850_1_1_0,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,1,1,0,COMMIT_MESSAGE,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,commit_message,,,"Merge pull request #51549 from aashikantkumar

Closes gh-51549

* gh-51549:
  Polish ""Preserve firewall in reactive CF security auto-configuration""
  Preserve firewall in reactive CF security auto-configuration",Merge pull request #51549 from aashikantkumar,"['', '', '']",
42645850_1_1_1,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,1,1,1,COMMIT_MESSAGE,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,commit_message,,,"Merge pull request #51549 from aashikantkumar

Closes gh-51549

* gh-51549:
  Polish ""Preserve firewall in reactive CF security auto-configuration""
  Preserve firewall in reactive CF security auto-configuration",Closes gh-51549,"['', '', '']",
42645850_1_1_2,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,1,1,2,COMMIT_MESSAGE,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,commit_message,,,"Merge pull request #51549 from aashikantkumar

Closes gh-51549

* gh-51549:
  Polish ""Preserve firewall in reactive CF security auto-configuration""
  Preserve firewall in reactive CF security auto-configuration","* gh-51549:
  Polish ""Preserve firewall in reactive CF security auto-configuration""
  Preserve firewall in reactive CF security auto-configuration","['GOAL', 'GOAL', 'GOAL']",GOAL
42645850_2_1_0,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,2,1,0,CODE_COMMENT,https://github.com/spring-projects/spring-boot/blob/ad8f14e7855aaf71063f6ae200064c6c6185be00/module%2Fspring-boot-cloudfoundry%2Fsrc%2Fmain%2Fjava%2Forg%2Fspringframework%2Fboot%2Fcloudfoundry%2Fautoconfigure%2Factuate%2Fendpoint%2Freactive%2FCloudFoundryReactiveActuatorAutoConfiguration.java,code_comment_added,,,[ADD]: @author Aashikant Kumar,[ADD]: @author Aashikant Kumar,"['', '', '']",
42645850_2_2_0,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,2,2,0,CODE_COMMENT,https://github.com/spring-projects/spring-boot/blob/ad8f14e7855aaf71063f6ae200064c6c6185be00/module%2Fspring-boot-cloudfoundry%2Fsrc%2Ftest%2Fjava%2Forg%2Fspringframework%2Fboot%2Fcloudfoundry%2Fautoconfigure%2Factuate%2Fendpoint%2Freactive%2FCloudFoundryReactiveActuatorAutoConfigurationTests.java,code_comment_added,,,[ADD]: @author Aashikant Kumar,[ADD]: @author Aashikant Kumar,"['', '', '']",
42645850_2_3_0,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,2,3,0,CODE_COMMENT,https://github.com/spring-projects/spring-boot/blob/ad8f14e7855aaf71063f6ae200064c6c6185be00/module%2Fspring-boot-cloudfoundry%2Fsrc%2Ftest%2Fjava%2Forg%2Fspringframework%2Fboot%2Fcloudfoundry%2Fautoconfigure%2Factuate%2Fendpoint%2Freactive%2FCloudFoundryReactiveActuatorAutoConfigurationTests.java,code_comment_added,,,"[ADD]: If CSRF fails we'll get a 403, if it works we get service unavailable because of ""Cloud controller URL is not available""","[ADD]: If CSRF fails we'll get a 403, if it works we get service unavailable because of ""Cloud controller URL is not available""","['', '', '']",
42645850_2_4_0,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,2,4,0,CODE_COMMENT,https://github.com/spring-projects/spring-boot/blob/ad8f14e7855aaf71063f6ae200064c6c6185be00/module%2Fspring-boot-cloudfoundry%2Fsrc%2Ftest%2Fjava%2Forg%2Fspringframework%2Fboot%2Fcloudfoundry%2Fautoconfigure%2Factuate%2Fendpoint%2Freactive%2FCloudFoundryReactiveActuatorAutoConfigurationTests.java,code_comment_added,,,"[ADD]: app.example.com"")","[ADD]: app.example.com"")","['', '', '']",
42645850_2_5_0,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,2,5,0,CODE_COMMENT,https://github.com/spring-projects/spring-boot/blob/ad8f14e7855aaf71063f6ae200064c6c6185be00/module%2Fspring-boot-cloudfoundry%2Fsrc%2Ftest%2Fjava%2Forg%2Fspringframework%2Fboot%2Fcloudfoundry%2Fautoconfigure%2Factuate%2Fendpoint%2Freactive%2FCloudFoundryReactiveActuatorAutoConfigurationTests.java,code_comment_added,,,"[ADD]: If CORS fails we'll get a 403, if it works we get service unavailable because of ""Cloud controller URL is not available""","[ADD]: If CORS fails we'll get a 403, if it works we get service unavailable because of ""Cloud controller URL is not available""","['', '', '']",
42645850_3_1_0,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,3,1,0,CLASS_JAVADOCS,https://github.com/spring-projects/spring-boot/blob/ad8f14e7855aaf71063f6ae200064c6c6185be00/module%2Fspring-boot-cloudfoundry%2Fsrc%2Ftest%2Fjava%2Forg%2Fspringframework%2Fboot%2Fcloudfoundry%2Fautoconfigure%2Factuate%2Fendpoint%2Freactive%2FCloudFoundryReactiveActuatorAutoConfigurationTests.java,class_javadocs,,CloudFoundryReactiveActuatorAutoConfigurationTests,Tests for {@link CloudFoundryReactiveActuatorAutoConfiguration}. @author Madhura Bhave @author Moritz Halbritter @author Aashikant Kumar,Tests for {@link CloudFoundryReactiveActuatorAutoConfiguration}.,"['', '', '']",
42645850_3_1_1,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,3,1,1,CLASS_JAVADOCS,https://github.com/spring-projects/spring-boot/blob/ad8f14e7855aaf71063f6ae200064c6c6185be00/module%2Fspring-boot-cloudfoundry%2Fsrc%2Ftest%2Fjava%2Forg%2Fspringframework%2Fboot%2Fcloudfoundry%2Fautoconfigure%2Factuate%2Fendpoint%2Freactive%2FCloudFoundryReactiveActuatorAutoConfigurationTests.java,class_javadocs,,CloudFoundryReactiveActuatorAutoConfigurationTests,Tests for {@link CloudFoundryReactiveActuatorAutoConfiguration}. @author Madhura Bhave @author Moritz Halbritter @author Aashikant Kumar,@author Madhura Bhave @author Moritz Halbritter @author Aashikant Kumar,"['', '', '']",
