id,commit_id,commit_url,owner,repo,sha,source_id,text_id,sentence_id,source,source_url,artifact_kind,artifact_number,class_name,text,sentence,run_labels,final_labels
42645850_1_1_2,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,1,1,2,COMMIT_MESSAGE,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,commit_message,,,"Merge pull request #51549 from aashikantkumar

Closes gh-51549

* gh-51549:
  Polish ""Preserve firewall in reactive CF security auto-configuration""
  Preserve firewall in reactive CF security auto-configuration","* gh-51549:
  Polish ""Preserve firewall in reactive CF security auto-configuration""
  Preserve firewall in reactive CF security auto-configuration","['GOAL', 'GOAL', 'GOAL']",GOAL
42645850_5_1_0,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,5,1,0,ISSUE,https://github.com/spring-projects/spring-boot/issues/45377#title,add_ref_issue_info_title,45377.0,,Custom Spring Security firewall is lost when using spring-boot-cloudfoundry and Actuator in a reactive web application,Custom Spring Security firewall is lost when using spring-boot-cloudfoundry and Actuator in a reactive web application,"['NEED', 'NEED', 'NEED']",NEED
42645850_5_2_0,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,5,2,0,ISSUE,https://github.com/spring-projects/spring-boot/issues/45377#body,add_ref_issue_info_body,45377.0,,"Spring security fixed an issue in WebFilterChainProxy by allowing clients to override the default instance of the firewall field (ServerWebExchangeFirewall) with whatever client wants to or adjust the behavior of the default StrictServerWebExchangeFirewall instance:

https://github.com/spring-projects/spring-security/issues/15974

However ReactiveCloudFoundryActuatorAutoConfiguration in the postProcess method overrides the default WebFilterChainProxy bean with new instance and ignoring any overrides of firewall the old bean had.

This causes apps that run on cloud foundry to not run the same way as they would outside of cloud foundry, and require my to disable cloud foundry management endpoints.

I think that's a bug

```
management:
  cloudfoundry:
    enabled: false
```

To test this behavior localy, set the VCAP_APPLICATION environment variable to something, json like.","Spring security fixed an issue in WebFilterChainProxy by allowing clients to override the default instance of the firewall field (ServerWebExchangeFirewall) with whatever client wants to or adjust the behavior of the default StrictServerWebExchangeFirewall instance:

https://github.com/spring-projects/spring-security/issues/15974

However ReactiveCloudFoundryActuatorAutoConfiguration in the postProcess method overrides the default WebFilterChainProxy bean with new instance and ignoring any overrides of firewall the old bean had.

This causes apps that run on cloud foundry to not run the same way as they would outside of cloud foundry, and require my to disable cloud foundry management endpoints.","['NEED', 'NEED', 'NEED']",NEED
42645850_5_3_0,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,5,3,0,ISSUE,https://github.com/spring-projects/spring-boot/issues/45377#issuecomment-2855645638,add_ref_issue_info_comment,45377.0,,"It looks like we might be quite limited in how we can fix this without some Spring Security updates. It doesn't look like we can get the existing value of the `firewall` field. The `setFilterChainDecorator` looks like it might be useful, but I don't think we can use it because it replaces the existing decorator.

@jzheaux Do you have any suggestions?",It looks like we might be quite limited in how we can fix this without some Spring Security updates.,"['ALTERNATIVES', 'ALTERNATIVES', 'ALTERNATIVES']",ALTERNATIVES
42645850_5_3_1,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,5,3,1,ISSUE,https://github.com/spring-projects/spring-boot/issues/45377#issuecomment-2855645638,add_ref_issue_info_comment,45377.0,,"It looks like we might be quite limited in how we can fix this without some Spring Security updates. It doesn't look like we can get the existing value of the `firewall` field. The `setFilterChainDecorator` looks like it might be useful, but I don't think we can use it because it replaces the existing decorator.

@jzheaux Do you have any suggestions?",It doesn't look like we can get the existing value of the `firewall` field.,"['ALTERNATIVES', 'ALTERNATIVES', 'ALTERNATIVES']",ALTERNATIVES
42645850_5_3_2,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,5,3,2,ISSUE,https://github.com/spring-projects/spring-boot/issues/45377#issuecomment-2855645638,add_ref_issue_info_comment,45377.0,,"It looks like we might be quite limited in how we can fix this without some Spring Security updates. It doesn't look like we can get the existing value of the `firewall` field. The `setFilterChainDecorator` looks like it might be useful, but I don't think we can use it because it replaces the existing decorator.

@jzheaux Do you have any suggestions?","The `setFilterChainDecorator` looks like it might be useful, but I don't think we can use it because it replaces the existing decorator.","['ALTERNATIVES', 'ALTERNATIVES', 'ALTERNATIVES']",ALTERNATIVES
42645850_5_4_2,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,5,4,2,ISSUE,https://github.com/spring-projects/spring-boot/issues/45377#issuecomment-2855763075,add_ref_issue_info_comment,45377.0,,"@philwebb , can you not do same as the security folks?

```
	@Bean(SPRING_SECURITY_WEBFILTERCHAINFILTER_BEAN_NAME)
	@Order(WEB_FILTER_CHAIN_FILTER_ORDER)
	WebFilterChainProxy springSecurityWebFilterChainFilter(ObjectProvider<ServerWebExchangeFirewall> firewall) {
		WebFilterChainProxy webFilterChainProxy = new WebFilterChainProxy(getSecurityWebFilterChains());
		firewall.ifUnique(webFilterChainProxy::setFirewall);
		return webFilterChainProxy;
	}
```","`
	@Bean(SPRING_SECURITY_WEBFILTERCHAINFILTER_BEAN_NAME)
	@Order(WEB_FILTER_CHAIN_FILTER_ORDER)
	WebFilterChainProxy springSecurityWebFilterChainFilter(ObjectProvider<ServerWebExchangeFirewall> firewall) {
		WebFilterChainProxy webFilterChainProxy = new WebFilterChainProxy(getSecurityWebFilterChains());
		firewall.ifUnique(webFilterChainProxy::setFirewall);
		return webFilterChainProxy;
	}
```","['ALTERNATIVES', 'ALTERNATIVES', 'ALTERNATIVES']",ALTERNATIVES
42645850_5_5_0,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,5,5,0,ISSUE,https://github.com/spring-projects/spring-boot/issues/45377#issuecomment-2855780950,add_ref_issue_info_comment,45377.0,,"That will work if the `ServerWebExchangeFirewall` is set from a bean, but if the user has called `WebFilterChainProxy.setFirewall` directly (or via a post processor), it won't work.","That will work if the `ServerWebExchangeFirewall` is set from a bean, but if the user has called `WebFilterChainProxy.setFirewall` directly (or via a post processor), it won't work.","['ALTERNATIVES', 'ALTERNATIVES', 'ALTERNATIVES']",ALTERNATIVES
42645850_5_6_0,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,5,6,0,ISSUE,https://github.com/spring-projects/spring-boot/issues/45377#issuecomment-2855805803,add_ref_issue_info_comment,45377.0,,"I think that's that was the way to override the firewall in spring security: https://github.com/spring-projects/spring-security/commit/e48d6b039baf104a6c56f4e62e0c2ff4d35a22bb
",I think that's that was the way to override the firewall in spring security: https://github.com/spring-projects/spring-security/commit/e48d6b039baf104a6c56f4e62e0c2ff4d35a22bb,"['ALTERNATIVES', 'ALTERNATIVES', 'ALTERNATIVES']",ALTERNATIVES
42645850_5_7_0,42645850,https://github.com/spring-projects/spring-boot/commit/ad8f14e7855aaf71063f6ae200064c6c6185be00,spring-projects,spring-boot,ad8f14e7855aaf71063f6ae200064c6c6185be00,5,7,0,ISSUE,https://github.com/spring-projects/spring-boot/issues/45377#issuecomment-2855835647,add_ref_issue_info_comment,45377.0,,"It's probably the most typical way, but I don't think it's the only way it could happen.","It's probably the most typical way, but I don't think it's the only way it could happen.","['ALTERNATIVES', 'ALTERNATIVES', 'ALTERNATIVES']",ALTERNATIVES
